#Pixel Wavelength_nm Field30 Field175 Field320 Field465 Field610
180.0000 1738.4048 1.0629 1.0742 1.0273 1.0447 1.0526
181.0000 1733.3989 1.1018 1.0950 1.0560 1.0911 1.0830
182.0000 1728.3929 1.1127 1.1122 1.0805 1.1031 1.1140
183.0000 1723.3867 1.1554 1.1422 1.1036 1.1402 1.1573
184.0000 1718.3803 1.1309 1.1394 1.0928 1.1152 1.1427
185.0000 1713.3737 1.1464 1.1274 1.0976 1.1125 1.1382
186.0000 1708.3669 1.1375 1.1157 1.0687 1.1095 1.1336
187.0000 1703.3600 1.1247 1.1032 1.0826 1.1097 1.1202
188.0000 1698.3529 1.1474 1.1580 1.1082 1.1177 1.1413
189.0000 1693.3456 1.1620 1.1285 1.1037 1.1200 1.1492
190.0000 1688.3381 1.1373 1.1467 1.0991 1.1237 1.1609
191.0000 1683.3305 1.1349 1.1290 1.0856 1.1151 1.1233
192.0000 1678.3227 1.1283 1.1447 1.0967 1.1276 1.1406
193.0000 1673.3147 1.1503 1.1330 1.1041 1.1151 1.1217
194.0000 1668.3066 1.1943 1.1822 1.1445 1.1728 1.1931
195.0000 1663.2983 1.1672 1.1838 1.1453 1.1773 1.2059
196.0000 1658.2898 1.1552 1.1426 1.1090 1.1579 1.1672
197.0000 1653.2812 1.0990 1.0863 1.0554 1.0877 1.1102
198.0000 1648.2724 1.0815 1.0682 1.0383 1.0919 1.0935
199.0000 1643.2634 1.0774 1.0709 1.0373 1.0555 1.0984
200.0000 1638.2543 1.0884 1.0849 1.0430 1.0593 1.0694
201.0000 1633.2450 1.1120 1.1071 1.0680 1.0909 1.1086
202.0000 1628.2356 1.1316 1.1335 1.0891 1.1340 1.1476
203.0000 1623.2260 1.1575 1.1440 1.1081 1.1278 1.1513
204.0000 1618.2162 1.1407 1.1294 1.0985 1.1259 1.1282
205.0000 1613.2063 1.1372 1.1203 1.0769 1.1120 1.1195
206.0000 1608.1962 1.1349 1.1323 1.0741 1.0977 1.1239
207.0000 1603.1859 1.1501 1.1389 1.0874 1.1260 1.1735
208.0000 1598.1755 1.1568 1.1474 1.0899 1.1290 1.1498
209.0000 1593.1650 1.1245 1.1174 1.0855 1.1252 1.1328
210.0000 1588.1543 1.1244 1.1162 1.0739 1.1175 1.1530
211.0000 1583.1434 1.1403 1.1274 1.0883 1.1312 1.1262
212.0000 1578.1324 1.1446 1.1473 1.0889 1.1316 1.1317
213.0000 1573.1213 1.1714 1.1530 1.1165 1.1341 1.1415
214.0000 1568.1099 1.1797 1.1561 1.1437 1.1748 1.1715
215.0000 1563.0985 1.1813 1.1855 1.1217 1.1515 1.1852
216.0000 1558.0869 1.1594 1.1644 1.1170 1.1602 1.1708
217.0000 1553.0751 1.0983 1.1088 1.0585 1.1087 1.1191
218.0000 1548.0632 1.0606 1.0593 1.0422 1.0866 1.0999
219.0000 1543.0511 1.0759 1.0533 1.0389 1.0384 1.0966
220.0000 1538.0389 1.0760 1.0951 1.0551 1.0669 1.0593
221.0000 1533.0266 1.1146 1.0842 1.0747 1.0931 1.0789
222.0000 1528.0141 1.1310 1.1222 1.0893 1.1283 1.1585
223.0000 1523.0015 1.1376 1.1445 1.1000 1.1155 1.1213
224.0000 1517.9887 1.1456 1.1186 1.1048 1.1260 1.1521
225.0000 1512.9757 1.1343 1.1348 1.1027 1.1390 1.1328
226.0000 1507.9627 1.1190 1.1088 1.0752 1.1108 1.0980
227.0000 1502.9495 1.1447 1.1418 1.0962 1.1268 1.1329
228.0000 1497.9361 1.1576 1.1448 1.1120 1.1462 1.1512
229.0000 1492.9226 1.1512 1.1434 1.1089 1.1340 1.1560
230.0000 1487.9090 1.1275 1.1194 1.0978 1.1420 1.1867
231.0000 1482.8952 1.1301 1.1178 1.0845 1.1415 1.1313
232.0000 1477.8813 1.1547 1.1360 1.1109 1.1446 1.1345
233.0000 1472.8673 1.1563 1.1384 1.1117 1.1519 1.1249
234.0000 1467.8531 1.1906 1.1993 1.1571 1.1810 1.1677
235.0000 1462.8388 1.1797 1.1760 1.1438 1.1726 1.1831
236.0000 1457.8243 1.1750 1.1598 1.1224 1.1640 1.1693
237.0000 1452.8097 1.1197 1.0931 1.0779 1.1232 1.1229
238.0000 1447.7950 1.0960 1.1142 1.0660 1.1018 1.1207
239.0000 1442.7801 1.0913 1.0901 1.0479 1.0793 1.1300
